name,place_of_birth,citizenship,national_team,birth_country,is_naturalized
Hans Vanaken,Neerpelt,Belgium,Belgium,Belgium,False
Jérémy Doku,Borgerhout,Belgium  Ghana,Belgium,Belgium,False
Leandro Trossard,Waterschei,Belgium,Belgium,Belgium,False
Dodi Lukébakio,Brussels,Belgium  DR Congo,Belgium,Belgium,False
Matias Fernandez-Pardo,Brussel,Belgium  Spain,Belgium,Belgium,False
Romelu Lukaku,Antwerpen,Belgium  DR Congo,Belgium,Belgium,False
Lukas Hornicek,Vysoké Mýto,Czech Republic,Czechia,Czechia,False
Matej Kovar,Uherské Hradiště,Czech Republic,Czechia,Czechia,False
Jindrich Stanek,Strakonice,Czech Republic,Czechia,Czechia,False
Ladislav Krejčí,Rosice,Czech Republic,Czechia,Czechia,False
Robin Hranac,Plzeň,Czech Republic,Czechia,Czechia,False
Stepan Chaloupek,Meziboří,Czech Republic,Czechia,Czechia,False
David Zima,Olomouc,Czech Republic,Czechia,Czechia,False
Tomas Holes,Hradec Králové,Czech Republic,Czechia,Czechia,False
Jaroslav Zelený,Hradec Králové,Czech Republic,Czechia,Czechia,False
David Jurásek,Dolní Němčí,Czech Republic,Czechia,Czechia,False
Vladimír Coufal,Ostrava,Czech Republic,Czechia,Czechia,False
Tomáš Souček,Havlíčkův Brod,Czech Republic,Czechia,Czechia,False
Michal Sadílek,Uherské Hradiště,Czech Republic,Czechia,Czechia,False
Lukas Cerv,Praha,Czech Republic,Czechia,Czechia,False
Pavel Bucha,Mělník,Czech Republic,Czechia,Czechia,False
Hugo Sochurek,Tábor,Czech Republic,Czechia,Czechia,False
Alexandr Sojka,,Czech Republic,Czechia,,True
Vladimír Darida,Plzeň,Czech Republic,Czechia,Czechia,False
David Doudera,Brandýs nad Labem-Stará Boleslav,Czech Republic,Czechia,Czechia,False
Pavel Sulc,Karlovy Vary,Czech Republic,Czechia,Czechia,False
Denis Visinsky,,Czech Republic,Czechia,,True
Tomas Ladra,Česká Lípa,Czech Republic,Czechia,Czechia,False
Lukas Provod,Plzeň,Czech Republic,Czechia,Czechia,False
Patrik Schick,Praha,Czech Republic,Czechia,Czechia,False
Adam Hlozek,Ivančice,Czech Republic,Czechia,Czechia,False
Mojmír Chytil,Skalka,Czech Republic,Czechia,Czechia,False
Tomas Chory,Olomouc,Czech Republic,Czechia,Czechia,False
Jan Kuchta,Liberec,Czech Republic,Czechia,Czechia,False
Christophe Kabongo,Praha,Czech Republic  DR Congo,Czechia,Czechia,False
Dean Henderson,Whitehaven,England,England,United Kingdom,True
James Trafford,Greysouthen,England,England,United Kingdom,True
Jordan Pickford,Washington,England,England,United States,True
Marc Guéhi,Abidjan,England  Cote d'Ivoire,England,Côte d'Ivoire,True
Jarell Quansah,Warrington,England  Scotland,England,United Kingdom,True
Ezri Konsa,London,England  DR Congo,England,United Kingdom,True
John Stones,Barnsley,England,England,United Kingdom,True
Dan Burn,Blyth,England,England,United Kingdom,True
Nico O'Reilly,Manchester,England  Jamaica,England,United Kingdom,True
Djed Spence,London,England  Jamaica,England,United Kingdom,True
Reece James,London,England,England,United Kingdom,True
Tino Livramento,London,England  Scotland,England,United Kingdom,True
Jordan Henderson,Sunderland,England,England,United Kingdom,True
Declan Rice,London,England  Ireland,England,United Kingdom,True
Elliot Anderson,Whitley Bay,England  Scotland,England,United Kingdom,True
Kobbie Mainoo,Stockport,England  Ghana,England,United Kingdom,True
Jude Bellingham,Stourbridge,England  Ireland,England,United Kingdom,True
Morgan Rogers,Halesowen,England,England,United Kingdom,True
Eberechi Eze,London,England  Nigeria,England,United Kingdom,True
Anthony Gordon,Liverpool,England,England,United Kingdom,True
Marcus Rashford,Manchester,England  St. Kitts & Nevis,England,United Kingdom,True
Bukayo Saka,London,England  Nigeria,England,United Kingdom,True
Noni Madueke,London,England  Nigeria,England,United Kingdom,True
Harry Kane,London,England  Ireland,England,United Kingdom,True
Ollie Watkins,Torquay,England,England,United Kingdom,True
Ivan Toney,Northampton,England  Jamaica,England,United Kingdom,True
Mathew Ryan,Plumpton,Australia  Scotland,Australia,United Kingdom,True
Patrick Beach,Sydney,Australia,Australia,Australia,False
Paul Izzo,Adelaide,Australia  Italy,Australia,Australia,False
Alessandro Circati,Fidenza,Australia  Italy,Australia,Italy,True
Cameron Burgess,Aberdeen,Australia  Scotland,Australia,United Kingdom,True
Lucas Herrington,Brisbane,Australia,Australia,Australia,False
Kye Rowles,Kiama,Australia,Australia,Australia,False
Milos Degenek,Knin,Australia  Serbia,Australia,Croatia,True
Jordan Bos,Melbourne,Australia  Netherlands,Australia,Australia,False
Aziz Behich,Melbourne,Australia  Türkiye,Australia,Australia,False
Jacob Italiano,Perth,Australia,Australia,Australia,False
Jason Geria,Canberra,Australia  Uganda,Australia,Australia,False
Aiden O'Neill,Brisbane,Australia  Northern Ireland,Australia,Australia,False
Kai Trewin,Batemans Bay,Australia,Australia,Australia,False
Paul Okon-Engstler,Gent,Australia  Italy,Australia,Belgium,True
Patrick Yazbek,Liverpool,Australia,Australia,United Kingdom,True
Riley McGree,Gawler,Australia,Australia,Australia,False
Connor Metcalfe,,,Australia,,True
Alex Robertson,Dundee,Australia  Peru,Australia,United Kingdom,True
Ajdin Hrustic,Melbourne,Australia  Bosnia-Herzegovina,Australia,Australia,False
Nishan Velupillay,Melbourne,Australia  Sri Lanka,Australia,Australia,False
Awer Mabil,Kakuma,Australia  Southern Sudan,Australia,Nigeria,True
Nestory Irankunda,Kigoma,Australia  Tanzania,Australia,Tanzania,True
Ante Suto,Imotski,Australia  Croatia,Australia,Croatia,True
Deni Jurić,Kogarah,Australia  Croatia,Australia,Australia,False
Martin Boyle,Aberdeen,Australia  Scotland,Australia,United Kingdom,True
Yehvann Diouf,Montreuil-sous-Bois,Senegal  France,Senegal,France,True
Edouard Mendy,Montivilliers,Senegal  Guinea-Bissau,Senegal,France,True
Mory Diaw,Poissy,Senegal  France,Senegal,France,True
Mamadou Sarr,Martigues,Senegal  France,Senegal,France,True
Moussa Niakhaté,Roubaix,Senegal  France,Senegal,France,True
Moustapha Mbow,Dakar,Senegal,Senegal,Senegal,False
Antoine Mendy,Marseille,Senegal  France,Senegal,France,True
Kalidou Koulibaly,Saint-Dié-des-Vosges,Senegal  France,Senegal,France,True
Abdoulaye Seck,Mbour,Senegal,Senegal,Senegal,False
El Hadji Malick Diouf,Ziguinchor,Senegal,Senegal,Senegal,False
Ismail Jakobs,Köln,Senegal  Germany,Senegal,Germany,True
Ilay Camara,Bonheiden,Senegal  Belgium,Senegal,Belgium,True
Idrissa Gueye,Dakar,Senegal,Senegal,Senegal,False
Pape Gueye,Montreuil,Senegal  France,Senegal,France,True
Lamine Camara,Diouloulou,Senegal,Senegal,Senegal,False
Pape Matar Sarr,Thiaroye,Senegal,Senegal,Senegal,False
Habib Diarra,Guédiawaye,Senegal  France,Senegal,Senegal,False
Pathé Ciss,Dakar,Senegal,Senegal,Senegal,False
Bara Sapoko Ndiaye,Mékhé,Senegal,Senegal,Senegal,False
Krépin Diatta,Dakar,Senegal,Senegal,Senegal,False
Assane Diao,Ndongane,Senegal  Spain,Senegal,,True
Sadio Mané,"Bambali, Sédhiou",Senegal,Senegal,Senegal,False
Iliman Ndiaye,Rouen,Senegal  France,Senegal,France,True
Ismaïla Sarr,Saint-Louis,Senegal,Senegal,United States,True
Ibrahim Mbaye,Trappes,Senegal  France,Senegal,France,True
Nicolas Jackson,Banjul,Senegal  The Gambia,Senegal,The Gambia,True
Bamba Dieng,Pikine,Senegal,Senegal,Senegal,False
Cherif Ndiaye,Dakar,Senegal,Senegal,Senegal,False
Gregor Kobel,Zürich,Switzerland,Switzerland,Switzerland,False
Marvin Keller,London,Switzerland,Switzerland,United Kingdom,True
Yvon Mvogo,Yaoundé,Switzerland  Cameroon,Switzerland,Cameroon,True
Manuel Akanji,Wiesendangen,Switzerland  Nigeria,Switzerland,Switzerland,False
Luca Jaquez,Luzern,Switzerland  Dominican Republic,Switzerland,Switzerland,False
Nico Elvedi,Zürich,Switzerland,Switzerland,Switzerland,False
Aurèle Amenda,Biel/Bienne,Switzerland  Cameroon,Switzerland,Switzerland,False
Eray Cömert,Rheinfelden,Switzerland  Türkiye,Switzerland,Switzerland,False
Miro Muheim,Zürich,Switzerland,Switzerland,Switzerland,False
Ricardo Rodríguez,Zürich,Switzerland  Chile,Switzerland,Switzerland,False
Silvan Widmer,Aarau,Switzerland,Switzerland,Switzerland,False
Ardon Jashari,Cham,Switzerland  North Macedonia,Switzerland,France,True
Denis Zakaria,Genf,Switzerland  DR Congo,Switzerland,Switzerland,False
Granit Xhaka,Basel,Switzerland,Switzerland,Switzerland,False
Johan Manzambi,Genève,Switzerland,Switzerland,Switzerland,False
Djibril Sow,Zürich,Switzerland  Senegal,Switzerland,Switzerland,False
Michel Aebischer,Fribourg,Switzerland,Switzerland,Switzerland,False
Remo Freuler,Ennenda,Switzerland,Switzerland,Switzerland,False
Fabian Rieder,Bern,Switzerland,Switzerland,Switzerland,False
Christian Fassnacht,Zürich,Switzerland,Switzerland,Switzerland,False
Noah Okafor,Binningen,Switzerland  Nigeria,Switzerland,France,True
Rubén Vargas,Adligenswil,Switzerland  Dominican Republic,Switzerland,Switzerland,False
Dan Ndoye,Nyon,Switzerland  Senegal,Switzerland,Switzerland,False
Breel Embolo,Yaoundé,Switzerland  Cameroon,Switzerland,Cameroon,True
Zeki Amdouni,Genève,Switzerland  Tunisia,Switzerland,Switzerland,False
Cedric Itten,Basel,Switzerland,Switzerland,Switzerland,False
Orlando Mosquera,San Miguelito,Panama,Panama,Panama,False
César Samudio,Ciudad de Panamá,Panama,Panama,Panama,False
Luis Mejía,Panama City,Panama  Uruguay,Panama,Panama,False
José Córdoba,Ciudad de Panamá,Panama,Panama,Panama,False
Andrés Andrade,Ciudad de Panamá,Panama,Panama,Panama,False
Jiovany Ramos,Panama City,Panama,Panama,Panama,False
Roderick Miller,Panama City,Panama,Panama,Panama,False
Martín Krug,"Chicago, Illinois",Panama  United States,Panama,United States,True
Jorge Gutiérrez,Ciudad de Panamá,Panama,Panama,Panama,False
Éric Davis,Colón,Panama,Panama,Panama,False
Amir Murillo,Salamanca,Panama,Panama,Spain,True
César Blackman,Ciudad de Panamá,Panama,Panama,Panama,False
Cristian Martínez,Ciudad de Panamá,Panama  United States,Panama,Panama,False
Carlos Harvey,Ciudad de Panamá,Panama  United States,Panama,Panama,False
Aníbal Godoy,Ciudad de Panamá,Panama  United States,Panama,Panama,False
Adalberto Carrasquilla,Ciudad de Panamá,Panama,Panama,Panama,False
José Luis Rodríguez,Chorrillo,Panama,Panama,Colombia,True
Ismael Díaz,Panama City,Panama,Panama,Panama,False
Yoel Bárcenas,Colón,Panama,Panama,Panama,False
César Yanis,Ciudad de Panamá,Panama,Panama,Panama,False
Kadir Barría,Ciudad de Panamá,Panama,Panama,Panama,False
José Fajardo,Colón,Panama,Panama,Panama,False
Cecilio Waterman,Ciudad de Panamá,Panama,Panama,Panama,False
Gonzalo Valle,Riobamba,Ecuador,Ecuador,Ecuador,False
Moisés Ramírez,Guayaquil,Ecuador,Ecuador,Ecuador,False
David Cabezas,Santo Domingo,Ecuador,Ecuador,Dominican Republic,True
Hernán Galíndez,Rosario,Ecuador  Argentina,Ecuador,Argentina,True
Willian Pacho,Quinindé,Ecuador,Ecuador,Ecuador,False
Piero Hincapié,Esmeraldas,Ecuador,Ecuador,Brazil,True
Joel Ordóñez,Guayaquil,Ecuador,Ecuador,Ecuador,False
Léo Realpe,Quinindé,Ecuador,Ecuador,Ecuador,False
Jackson Porozo,San Lorenzo,Ecuador,Ecuador,France,True
Félix Torres,San Lorenzo,Ecuador,Ecuador,France,True
Pervis Estupiñán,Esmeraldas,Ecuador  Spain,Ecuador,Brazil,True
Yaimar Medina,Eloy Alfaro,Ecuador,Ecuador,Ecuador,False
Angelo Preciado,Shushufindi,Ecuador,Ecuador,Ecuador,False
José Andrés Hurtado,Santo Domingo,Ecuador,Ecuador,Dominican Republic,True
Moisés Caicedo,Santo Domingo,Ecuador,Ecuador,Dominican Republic,True
Jordy Alcívar,Manta,Ecuador,Ecuador,Italy,True
Denil Castillo,Eloy Alfaro,Ecuador,Ecuador,Ecuador,False
Alan Franco,Alfredo Baquerizo Moreno,Ecuador,Ecuador,Ecuador,False
Kendry Páez,Guayaquil,Ecuador,Ecuador,Ecuador,False
Pedro Vite,Babahoyo,Ecuador,Ecuador,Ecuador,False
John Mercado,Guayaquil,Ecuador,Ecuador,Ecuador,False
Gonzalo Plata,Guayaquil,Ecuador,Ecuador,Ecuador,False
Alan Minda,Esmeraldas,Ecuador,Ecuador,Brazil,True
Bryan Ramírez,Esmeraldas,Ecuador,Ecuador,Brazil,True
Elías Legendre Quiñónez,La Concordia,Ecuador  France,Ecuador,Mexico,True
Janner Corozo,Guayaquil,Ecuador,Ecuador,Ecuador,False
Anthony Valencia,Guayaquil,Ecuador,Ecuador,Ecuador,False
John Yeboah,Hamburg,Ecuador  Germany,Ecuador,Germany,True
Jeremy Arévalo,Maliaño,Ecuador  Spain,Ecuador,Spain,True
Kevin Rodríguez,Ibarra,Ecuador,Ecuador,Spain,True
Jordy Caicedo,Machala,Ecuador,Ecuador,Ecuador,False
Enner Valencia,San Lorenzo,Ecuador,Ecuador,France,True
Bum-keun Song,"Seongnam, Gyeonggi","Korea, South",South Korea,South Korea,False
Hyeon-woo Jo,Seoul,"Korea, South",South Korea,South Korea,False
Seung-gyu Kim,"Dong-gu, Ulsan","Korea, South",South Korea,South Korea,False
Min-jae Kim,"Tongyeong, Gyeongnam","Korea, South",South Korea,South Korea,False
Yu-min Cho,"Dalseo-gu, Daegu","Korea, South",South Korea,South Korea,False
Han-beom Lee,Daegu,"Korea, South",South Korea,South Korea,False
Gi-hyuk Lee,Seoul,"Korea, South",South Korea,South Korea,False
Tae-hyeon Kim,"Gimpo, Gyeonggi","Korea, South",South Korea,South Korea,False
Tae-seok Lee,Seoul,"Korea, South",South Korea,South Korea,False
Young-woo Seol,"Ulju, Ulsan","Korea, South",South Korea,South Korea,False
Moon-hwan Kim,"Hwaseong, Gyeonggi","Korea, South",South Korea,South Korea,False
In-beom Hwang,Daejeon,"Korea, South",South Korea,South Korea,False
Jin-seob Park,"Jeonju, Jeollabuk","Korea, South",South Korea,South Korea,False
Jens Castrop,Düsseldorf,"Korea, South  Germany",South Korea,Germany,True
Seung-ho Paik,Seoul,"Korea, South",South Korea,South Korea,False
Jin-gyu Kim,"Pohang, Gyeongbuk","Korea, South",South Korea,South Korea,False
Kang-in Lee,"Namdong-gu, Incheon","Korea, South",South Korea,South Korea,False
Jun-ho Bae,Daegu,"Korea, South",South Korea,South Korea,False
Jae-sung Lee,Ulsan,"Korea, South",South Korea,South Korea,False
Dong-gyeong Lee,Daegu,"Korea, South",South Korea,South Korea,False
Heung-min Son,"Chuncheon, Gangwon","Korea, South",South Korea,South Korea,False
Ji-sung Eom,"Gimje, Jeonbuk","Korea, South",South Korea,South Korea,False
Hyun-jun Yang,"Yeongdo-gu, Busan","Korea, South",South Korea,South Korea,False
Hyeon-gyu Oh,"Namyangju, Gyeonggi","Korea, South",South Korea,South Korea,False
Hee-chan Hwang,"Chuncheon, Gangwon","Korea, South",South Korea,South Korea,False
Gue-sung Cho,"Ansan, Gyeonggi","Korea, South",South Korea,South Korea,False
Angus Gunn,Norwich,Scotland  England,Scotland,United Kingdom,True
Liam Kelly,Glasgow,Scotland,Scotland,United Kingdom,True
Craig Gordon,Edinburgh,Scotland,Scotland,United Kingdom,True
Scott McKenna,Kirriemuir,Scotland,Scotland,United Kingdom,True
Dominic Hyam,Leuchars,Scotland  England,Scotland,United Kingdom,True
Jack Hendry,Glasgow,Scotland,Scotland,United Kingdom,True
John Souttar,Aberdeen,Scotland  Australia,Scotland,United Kingdom,True
Grant Hanley,Dumfries,Scotland,Scotland,United Kingdom,True
Andrew Robertson,Glasgow,Scotland,Scotland,United Kingdom,True
Kieran Tierney,Douglas,Scotland  Isle of Man,Scotland,United States,True
Aaron Hickey,Glasgow,Scotland,Scotland,United Kingdom,True
Nathan Patterson,Glasgow,Scotland,Scotland,United Kingdom,True
Anthony Ralston,Glasgow,Scotland,Scotland,United Kingdom,True
Billy Gilmour,Irvine,Scotland,Scotland,United States,True
Scott McTominay,Lancaster,Scotland  England,Scotland,United States,True
Lewis Ferguson,Hamilton,Scotland,Scotland,Canada,True
John McGinn,Glasgow,Scotland,Scotland,United Kingdom,True
Ryan Christie,Inverness,Scotland,Scotland,United Kingdom,True
Kenny McLean,Rutherglen,Scotland,Scotland,United Kingdom,True
Findlay Curtis,Balfron,Scotland,Scotland,United Kingdom,True
Ben Gannon-Doak,Dalry,Scotland,Scotland,United Kingdom,True
Ché Adams,Leicester,Scotland  England,Scotland,United Kingdom,True
George Hirst,Sheffield,Scotland  England,Scotland,United Kingdom,True
Lawrence Shankland,Glasgow,Scotland,Scotland,United Kingdom,True
Ross Stewart,Irvine,Scotland,Scotland,United States,True
Lyndon Dykes,Gold Coast,Scotland  Australia,Scotland,Australia,True
Nawaf Al-Aqidi,Riyadh,Saudi Arabia,Saudi Arabia,Saudi Arabia,False
Mohammed Al-Yami,Najran,Saudi Arabia,Saudi Arabia,Saudi Arabia,False
Ahmed Al-Kassar,Qatif,Saudi Arabia,Saudi Arabia,Saudi Arabia,False
Abdulelah Al-Amri,Ta'if,Saudi Arabia,Saudi Arabia,Saudi Arabia,False
Rayan Hamed,Jeddah,Saudi Arabia,Saudi Arabia,Saudi Arabia,False
Ayman Yahya,Riyadh,Saudi Arabia,Saudi Arabia,Saudi Arabia,False
Muteb Al-Mufarrij,Riyadh,Saudi Arabia,Saudi Arabia,Saudi Arabia,False
Hassan Kadesh,Dammam,Saudi Arabia,Saudi Arabia,Saudi Arabia,False
Saud Abdulhamid,Jeddah,Saudi Arabia,Saudi Arabia,Saudi Arabia,False
Ali Majrashi,Al-Hamimah,Saudi Arabia,Saudi Arabia,Yemen,True
Ziyad Al-Johani,Jeddah,Saudi Arabia,Saudi Arabia,Saudi Arabia,False
Musab Al-Juwayr,Riyadh,Saudi Arabia,Saudi Arabia,Saudi Arabia,False
Murad Al-Hawsawi,,Saudi Arabia,Saudi Arabia,,True
Mohamed Kanno,Khobar,Saudi Arabia,Saudi Arabia,Saudi Arabia,False
Naif Masoud,Khobar,Saudi Arabia,Saudi Arabia,Saudi Arabia,False
Salman Al-Faraj,Medina,Saudi Arabia,Saudi Arabia,Saudi Arabia,False
Marwan Al-Sahafi,Jeddah,Saudi Arabia,Saudi Arabia,Saudi Arabia,False
Khalid Al-Ghannam,Khobar,Saudi Arabia,Saudi Arabia,Saudi Arabia,False
Turki Al-Ammar,Riyadh,Saudi Arabia,Saudi Arabia,Saudi Arabia,False
Sultan Mandash,Jeddah,Saudi Arabia,Saudi Arabia,Saudi Arabia,False
Firas Al-Buraikan,Riyadh,Saudi Arabia,Saudi Arabia,Saudi Arabia,False
Saleh Al-Shehri,Wadi Addawasir,Saudi Arabia,Saudi Arabia,,True
Abdullah Al-Hamdan,Riyadh,Saudi Arabia  Morocco,Saudi Arabia,Saudi Arabia,False
Payam Niazmand,Tehran,Iran,Iran,Iran,False
Mohammad Khalifeh,"Marvdasht, Fars",Iran,Iran,Iran,False
Alireza Beiranvand,"Khorramabad, Lorestan",Iran,Iran,Iran,False
Seyed Hossein Hosseini,"Shiraz, Fars",Iran,Iran,Iran,False
Hossein Kanaani,"Mahshahr, Khuzestan",Iran,Iran,Iran,False
Danial Eiri,"Gonbad-e Kavus, Golestan",Iran,Iran,Iran,False
Ali Nemati,"Nishabur, Razavi Khorasan",Iran,Iran,,True
Shoja Khalilzadeh,"Bahnemir, Mazandaran",Iran,Iran,Iran,False
Milad Mohammadi,Tehran,Iran,Iran,Iran,False
Ehsan Hajsafi,"Kashan, Isfahan",Iran,Iran,Iran,False
Arya Yousefi,"Mahshahr, Khuzestan",Iran,Iran,Iran,False
Saleh Hardani,"Bahmaei, Khuzestan",Iran,Iran,,True
Ramin Rezaeian,"Sari, Mazandaran",Iran,Iran,Iran,False
Saeed Ezatolahi,"Bandar Anzali, Gilan",Iran,Iran,Iran,False
Mohammad Ghorbani,"Arak, Markazi",Iran,Iran,Iran,False
Roozbeh Cheshmi,Tehran,Iran,Iran,Iran,False
Amirmohammad Razzaghinia,Yazd,Iran,Iran,Iran,False
Omid Noorafkan,"Shahr-e Rey, Tehran",Iran,Iran,Iran,False
Saman Ghoddos,Malmö,Iran  Sweden,Iran,Sweden,True
Hadi Habibinejad,"Baghmalek, Khuzestan",Iran,Iran,Iran,False
Mehdi Ghayedi,Bushehr,Iran,Iran,Iran,False
Mohammad Mohebi,Bushehr,Iran,Iran,Iran,False
Mehdi Torabi,"Karaj, Alborz",Iran,Iran,Iran,False
Amirhossein Mahmoudi,Tehran,Iran,Iran,Iran,False
Alireza Jahanbakhsh,"Jirandeh, Gilan",Iran  Netherlands,Iran,Iran,False
Mehdi Taremi,Bushehr,Iran,Iran,Iran,False
Amirhossein Hosseinzadeh,Tehran,Iran,Iran,Iran,False
Dennis Eckert Ayensa,Bonn,Iran  Germany,Iran,Germany,True
Ali Alipour,"Qaemshahr, Mazandaran",Iran,Iran,Iran,False
Shahriar Moghanlou,"Shahr-e Rey, Tehran",Iran,Iran,Iran,False
Kasra Taheri,"Yasuj, Kohgiluyeh and Boyer-Ahmad",Iran,Iran,Iran,False
Emiliano Martínez,Mar del Plata,Argentina  Spain,Argentina,Argentina,False
Gerónimo Rulli,La Plata,Argentina  Italy,Argentina,Argentina,False
Juan Musso,San Nicolás de los Arroyos,Argentina  Italy,Argentina,Argentina,False
Cristian Romero,Córdoba,Argentina,Argentina,Spain,True
Marcos Senesi,Concordia,Argentina  Italy,Argentina,United States,True
Tomás Palacios,General Pico,Argentina,Argentina,Argentina,False
Lucas Martínez Quarta,Mar del Plata,Argentina  Italy,Argentina,Argentina,False
Nicolás Otamendi,El Talar,Argentina,Argentina,Argentina,False
Nicolás Tagliafico,Rafael Calzada,Argentina  Italy,Argentina,Argentina,False
Gabriel Rojas,Rafael Calzada,Argentina,Argentina,Argentina,False
Marcos Acuña,Zapala,Argentina,Argentina,Argentina,False
Nahuel Molina,Embalse,Argentina,Argentina,Argentina,False
Agustín Giay,San Carlos Centro,Argentina,Argentina,Argentina,False
Máximo Perrone,Haedo,Argentina  Spain,Argentina,Argentina,False
Leandro Paredes,San Justo,Argentina,Argentina,Spain,True
Enzo Fernández,San Martín,Argentina,Argentina,Netherlands,True
Alexis Mac Allister,Santa Rosa,Argentina  Italy,Argentina,United States,True
Valentín Barco,25 de Mayo,Argentina,Argentina,Argentina,False
Exequiel Palacios,Famaillá,Argentina,Argentina,Argentina,False
Rodrigo De Paul,Sarandí,Argentina  Italy,Argentina,Argentina,False
Nico Paz,Santa Cruz de Tenerife,Argentina  Spain,Argentina,Spain,True
Nico González,Belén de Escobar,Argentina  Italy,Argentina,Argentina,False
Thiago Almada,Ciudadela,Argentina  Italy,Argentina,Spain,True
Franco Mastantuono,Azul,Argentina  Italy,Argentina,Argentina,False
Giuliano Simeone,Roma,Argentina  Italy,Argentina,Italy,True
Lionel Messi,Rosario,Argentina  Spain,Argentina,Argentina,False
Gianluca Prestianni,Ciudadela,Argentina  Italy,Argentina,Spain,True
Julián Alvarez,Calchín,Argentina  Italy,Argentina,Argentina,False
José Manuel López,San Lorenzo,Argentina,Argentina,France,True
Álvaro Montero,El Molino,Colombia,Colombia,Spain,True
Camilo Vargas,Bogotá,Colombia,Colombia,Colombia,False
David Ospina,Medellín,Colombia  France,Colombia,Colombia,False
Jhon Lucumí,Santiago de Cali,Colombia,Colombia,Colombia,False
Davinson Sánchez,Caloto,Colombia,Colombia,Colombia,False
Yerson Mosquera,Apartadó,Colombia,Colombia,Colombia,False
Juan Cabal,Santiago de Cali,Colombia,Colombia,Colombia,False
Deiver Machado,Tadó,Colombia,Colombia,Colombia,False
Johan Mojica,Santiago de Cali,Colombia  Spain,Colombia,Colombia,False
Daniel Muñoz,Amalfi,Colombia,Colombia,Italy,True
Santiago Arias,Medellín,Colombia,Colombia,Colombia,False
Richard Ríos,Vegachí,Colombia,Colombia,Colombia,False
Jefferson Lerma,Cerrito,Colombia,Colombia,Brazil,True
Kevin Castaño,Itagüí,Colombia,Colombia,Colombia,False
Gustavo Puerta,La Victoria,Colombia,Colombia,Spain,True
Jorge Carrascal,Cartagena de Indias,Colombia,Colombia,Colombia,False
James Rodríguez,Cúcuta,Colombia  Spain,Colombia,Colombia,False
Juan Fernando Quintero,Medellín,Colombia,Colombia,Colombia,False
Luis Díaz,Barrancas,Colombia,Colombia,Chile,True
Andrés Gómez,Quibdó,Colombia,Colombia,Colombia,False
Jáminton Campaz,Tumaco,Colombia,Colombia,Colombia,False
Johan Carbonero,Santander de Quilichao,Colombia,Colombia,Colombia,False
Jhon Arias,Quibdó,Colombia,Colombia,Colombia,False
Luis Suárez,Santa Marta,Colombia  Spain,Colombia,Colombia,False
Jhon Córdoba,Istmina,Colombia,Colombia,Colombia,False
Rafael Borré,Barranquilla,Colombia,Colombia,Colombia,False
Lawrence Ati Zigi,Accra,Ghana,Ghana,Ghana,False
Joseph Anang,Teshie,Ghana  England,Ghana,Ghana,False
Benjamin Asare,,Ghana,Ghana,,True
Kojo Peprah Oppong,Accra,Ghana,Ghana,Ghana,False
Jonas Adjetey,Accra,Ghana,Ghana,Ghana,False
Jerome Opoku,London,Ghana  England,Ghana,United Kingdom,True
Alexander Djiku,Montpellier,Ghana  France,Ghana,France,True
Manu Duah,Accra,Ghana,Ghana,Ghana,False
Patric Pfeiffer,Hamburg,Ghana  Germany,Ghana,Germany,True
Derrick Köhn,Hamburg,Ghana  Germany,Ghana,Germany,True
Gideon Mensah,Accra,Ghana,Ghana,Ghana,False
Marvin Senaya,Saint-Maurice,Ghana  France,Ghana,France,True
Ibrahim Sulemana,Sunyani,Ghana,Ghana,Ghana,False
Elisha Owusu,Montreuil,Ghana  France,Ghana,France,True
Thomas Partey,Odumase Krobo,Ghana,Ghana,Ghana,False
Caleb Yirenkyi,Bechem,Ghana,Ghana,Ghana,False
Kwasi Sibo,Wa,Ghana,Ghana,Australia,True
Augustine Boakye,Bompata,Ghana,Ghana,Ghana,False
Kamaldeen Sulemana,Techiman,Ghana,Ghana,Ghana,False
Christopher Bonsu Baah,Accra,Ghana,Ghana,Ghana,False
Francis Amuzu,Accra,Ghana  Belgium,Ghana,Ghana,False
Antoine Semenyo,London,Ghana  England,Ghana,United Kingdom,True
Mohammed Kudus,Accra,Ghana,Ghana,Ghana,False
Abdul Fatawu,Tamale,Ghana,Ghana,Ghana,False
Jesurun Rak-Sakyi,London,Ghana  England,Ghana,United Kingdom,True
Dan Agyei,London,Ghana  England,Ghana,United Kingdom,True
Brandon Thomas-Asante,Milton Keynes,Ghana  England,Ghana,United Kingdom,True
Ransford Königsdörffer,Berlin,Ghana  Germany,Ghana,Germany,True
Prince Adu,Sunyani,Ghana,Ghana,Ghana,False
Jordan Ayew,Marseille,Ghana  France,Ghana,France,True
Luca Zidane,Marseille,Algeria  France,Algeria,France,True
Anthony Mandréa,Grasse,Algeria  France,Algeria,France,True
Melvin Mastil,Thonon-les-Bains,Algeria  France,Algeria,France,True
Kilian Belazzoug,Paris,Algeria  France,Algeria,France,True
Ramy Bensebaini,Constantine,Algeria,Algeria,Algeria,False
Sohaib Naïr,Saint-Denis,Algeria  France,Algeria,France,True
Zineddine Belaid,Thénia,Algeria,Algeria,Algeria,False
Aïssa Mandi,Châlons-en-Champagne,Algeria  France,Algeria,France,True
Achref Abada,Touggourt,Algeria,Algeria,Algeria,False
Rayan Aït-Nouri,Montreuil,Algeria  France,Algeria,France,True
